idx,url
53,https://it.tdtu.edu.vn/thong-tin-chuong-trinh-thuc-tap-tai-cong-ty-wecash
54,https://it.tdtu.edu.vn/user/login?destination=/thong-bao-ve-viec-mo-hoc-phan-boi-duong-sau-dai-hoc-dot-3-hk22018-2019%23comment-form
55,https://it.tdtu.edu.vn/iconclub
56,https://it.tdtu.edu.vn/thong-tin-dang-ki-hoc-cac-hoc-phan-chuyen-nganh-trong-chuong-trinh-thac-si-41
57,https://it.tdtu.edu.vn/user/login?destination=/thong-tin-tuyen-dung-cong-ty-logix-technology-viet-nam%23comment-form
58,https://it.tdtu.edu.vn/user/login?destination=/pasona-tech-vietnam-jd-sofware-developer-javascript-jquery-sql%23comment-form
59,https://it.tdtu.edu.vn/user/login?destination=/truong-dai-hoc-ton-duc-thang-tiep-va-lam-viec-voi-doan-truong-dai-hoc-tomas-bata-va-truong-dai-hoc%23comment-form
60,https://it.tdtu.edu.vn/user/login?destination=/trai-he-sinh-vien-khoa-cntt-nam-2019%23comment-form
61,https://it.tdtu.edu.vn/user/login?destination=/sinh-vien-khoa-cntt-tham-quan-bao-tang-chung-tich-chien-tranh%23comment-form
62,https://it.tdtu.edu.vn/fujinet-tuyen-dung-ky-su-phan-mem-thang-032022
63,https://it.tdtu.edu.vn/user/login?destination=/thong-tin-dang-ki-hoc-cac-hoc-phan-chuyen-nganh-trong-chuong-trinh-thac-si-41%23comment-form
64,https://it.tdtu.edu.vn/user/login?destination=/cong-ty-tnhh-cong-nghe-so-nam-phuong%23comment-form
65,https://it.tdtu.edu.vn/dai-hoc-ton-duc-thang-duoc-wos-xep-vao-nhom-25-co-so-nghien-cuu-hang-dau-khu-vuc-asean
66,https://it.tdtu.edu.vn/ket-qua-xet-mo-lop-vet-dot-thang-72018
67,https://it.tdtu.edu.vn/tin-tuc?page=25
68,https://it.tdtu.edu.vn/user/login?destination=/tma-tuyen-nhan-su-nhom-nghien-cuu-machine-learningartificial-intelligence%23comment-form
69,https://it.tdtu.edu.vn/nhan-bang-tot-nghiep-chinh-thuc-cac-dot-t92020-t012021-va-t042021
70,https://it.tdtu.edu.vn/thong-bao-dang-ki-tham-du-seminar-cong-ty-fujinet
71,https://it.tdtu.edu.vn/user/login?destination=/thong-tin-tuyen-dung-cong-ty-tma-1%23comment-form
72,https://it.tdtu.edu.vn/ke-hoach-to-chuc-lop-on-tap-cho-sv-duoc-gia-han-dao-tao-dot-thang-42021-lop-vet
73,https://it.tdtu.edu.vn/doi-thoai-sinh-vien-khoa-cntt
74,https://it.tdtu.edu.vn/fpt-information-system-tuyen-dung
75,https://it.tdtu.edu.vn/career-day-112023-cty-cong-nghe-so-nam-phuong-tuyen-dung
76,https://it.tdtu.edu.vn/en/giao-duc/nganh-khoa-hoc-may-tinh-clc
77,https://it.tdtu.edu.vn/thong-tin-tuyen-dung-cong-ty-tps
78,https://it.tdtu.edu.vn/adnovum-tuyen-dung-fresh-software-engineer
79,https://it.tdtu.edu.vn/truong-dai-hoc-ton-duc-thang-tiep-tuc-tham-gia-danh-gia-chuong-trinh-dao-tao-theo-tieu-chuan-aun-qa
80,https://it.tdtu.edu.vn/thong-tin-tuyen-dung-cong-ty-just-time
81,https://it.tdtu.edu.vn/en/tuyen-sinh/dh-chinh-qui
82,https://it.tdtu.edu.vn/user/login?destination=/truong-dai-hoc-ton-duc-thang-ky-ket-hop-tac-voi-bao-thanh-nien%23comment-form
83,https://it.tdtu.edu.vn/en/education
84,https://it.tdtu.edu.vn/user/login?destination=/hoi-thao-nghe-nghiep-va-co-hoi-viec-lam-tai-nashtech-viet-nam%23comment-form
85,https://it.tdtu.edu.vn/thong-bao-tham-du-buoi-seminar-voi-chu-de-optimization-human-agent-collectives
86,https://it.tdtu.edu.vn/user/login?destination=/ke-hoach-xet-cong-nhan-tot-nghiep-dot-thang-42021%23comment-form
87,https://it.tdtu.edu.vn/thong-tin-chuong-trinh-cs-career-talk
88,https://it.tdtu.edu.vn/fpt-software-tuyen-dung-freshernet
89,https://it.tdtu.edu.vn/user/login?destination=/thong-bao-dang-ki-tham-du-seminar-cong-ty-fujinet%23comment-form
90,https://it.tdtu.edu.vn/chung-ket-va-trao-giai-cuoc-thi-khoi-nghiep-tech-startup-challenger-2023
91,https://it.tdtu.edu.vn/truong-dai-hoc-ton-duc-thang-tiep-va-lam-viec-voi-truong-dai-hoc-bach-khoa-hong-kong
92,https://it.tdtu.edu.vn/user/login?destination=/seminar-viec-lam-tai-nhat-cua-cong-ty-ga-consultants-ngay-dang-22112017%23comment-form
93,https://it.tdtu.edu.vn/user/login?destination=/hcl-viet-nam-ngay-hoi-tuyen-dung-hcl-viet-nam%23comment-form
94,https://it.tdtu.edu.vn/talkshow-key-behavior-your-success
95,https://it.tdtu.edu.vn/thong-bao-nhan-bang-tot-nghiep-thang-112021
96,https://it.tdtu.edu.vn/ke-hoach-to-chuc-mo-lop-on-tap-cho-sv-duoc-cuu-xet-gia-han-dao-tao-hoac-cac-mon-khong-con-mo-trong
97,https://it.tdtu.edu.vn/user/login?destination=/truong-dai-hoc-ton-duc-thang-tiep-va-lam-viec-voi-doan-truong-dai-hoc-massey-new-zealand%23comment-form
98,https://it.tdtu.edu.vn/hoi-nghi-hop-tac-giao-duc-viet-nam-ba-lan-tai-truong-dai-hoc-ton-duc-thang
99,https://it.tdtu.edu.vn/cong-ty-co-phan-cong-nghe-betall-tuyen-dung-fresher
100,https://it.tdtu.edu.vn/tin-tuc/thong-bao-hoc-vu
101,https://it.tdtu.edu.vn/user/login?destination=/thong-tin-tuyen-dung-cong-ty-just-time%23comment-form
102,https://it.tdtu.edu.vn/user/login?destination=/dang-ky-tham-du-seminar-cong-ty-nus-technology%23comment-form
103,https://it.tdtu.edu.vn/thong-bao-nhan-bang-tot-nghiep-dot-t62021
